time,E_observed,N_observed
0.000000,4.497995,7.235500
0.100000,7.145872,10.606964
0.200000,9.964812,14.584723
0.300000,10.535113,17.978640
0.400000,13.531969,15.497261
0.500000,15.799362,21.076368
0.600000,13.893088,26.971612
0.700000,18.204985,31.481713
0.800000,20.824874,32.019869
0.900000,20.917868,36.451287
1.000000,23.033410,36.828169
1.100000,25.543542,38.586389
1.200000,27.597336,44.975759
1.300000,27.687387,48.852170
1.400000,29.989622,49.413399
1.500000,28.220667,52.857899
1.600000,33.153575,55.178253
1.700000,31.437296,59.039621
1.800000,35.742942,61.634548
1.900000,36.846176,62.167254
2.000000,37.366875,70.452206
2.100000,40.172693,68.415822
2.200000,42.441523,70.380192
2.300000,42.756941,72.115617
2.400000,42.899653,77.058103
2.500000,43.374904,78.066218
2.600000,47.018472,80.483457
2.700000,45.906093,85.188370
2.800000,47.623606,84.328308
2.900000,50.260414,85.540771
3.000000,48.583752,88.174987
3.100000,52.369977,89.204336
3.200000,50.925804,90.532073
3.300000,57.551524,96.272061
3.400000,56.233210,98.871605
3.500000,57.428693,99.379086
3.600000,58.250150,103.473486
3.700000,61.249108,100.104659
3.800000,60.230213,102.192798
3.900000,62.930211,107.260564
4.000000,63.366201,110.483037
4.100000,59.961251,109.400808
4.200000,63.726569,111.003230
4.300000,63.859808,114.021515
4.400000,68.206324,114.480503
4.500000,64.568010,114.536602
4.600000,68.021420,115.659674
4.700000,67.430084,118.587855
4.800000,67.461693,118.478265
4.900000,69.854301,118.400283
5.000000,68.153127,122.010267
5.100000,69.841547,123.686627
5.200000,74.039279,124.944036
5.300000,71.496235,127.122012
5.400000,72.185499,125.790913
5.500000,72.618817,128.029747
5.600000,76.003360,126.628125
5.700000,77.632567,133.101720
5.800000,73.389508,130.696964
5.900000,74.707689,130.091116
6.000000,79.444339,130.791774
6.100000,75.906926,133.379990
6.200000,74.090693,131.682214
6.300000,77.739029,133.467094
6.400000,76.199644,133.378921
6.500000,74.731658,134.715781
6.600000,78.385781,136.785666
6.700000,79.268103,135.729567
6.800000,77.188086,136.968623
6.900000,76.327017,134.954641
7.000000,76.019842,139.058787
7.100000,81.329820,137.920612
7.200000,80.454698,139.558927
7.300000,81.096364,137.321844
7.400000,78.138860,139.570272
7.500000,80.936514,138.318256
7.600000,78.137461,140.250487
7.700000,78.344680,139.116525
7.800000,79.443479,139.394716
7.900000,79.771937,140.534502
8.000000,78.266240,138.055242
8.100000,80.457775,138.869667
8.200000,79.742175,137.091473
8.300000,79.637862,138.099771
8.400000,82.057947,132.926231
8.500000,77.021955,135.874563
8.600000,80.104361,137.163767
8.700000,79.074188,134.709981
8.800000,77.498351,135.324887
8.900000,76.949961,134.069973
9.000000,75.308518,135.612682
9.100000,75.987440,134.862297
9.200000,74.284885,134.491318
9.300000,76.564840,133.260364
9.400000,77.038963,131.182406
9.500000,76.652138,131.847976
9.600000,74.712720,128.661856
9.700000,74.977620,129.369538
9.800000,74.225821,130.112889
9.900000,75.703420,126.269269
